comment,emotion,sentiment
"Questo Ã¨ stato un interessante e piena di sera molto affollato trambusto trambusto tutte le etÃ , ci sono un sacco di bar e ristoranti, tutti lungo il canal street,negozi e intrattenimenti. Tutti i prezzi rimangano soddisfatti da mangiare sullo zoccolo a tre portate,tanto da scegliere.Ã¨ davvero una buona notte fuori sembrava molto sicuro e divertente.Abbiamo anche visitato durante il giorno e aveva il pranzo.Ã¨ piÃ¹ tranquilla ma comunque vivace e molto pittoresco.io non voglio perdere vedendo questo se vi trovate a Milano",joy,positive
Ottimo e ben organizzato. Nessuna coda all'entrata. Piantine che aiutavano la visita nei percorsi. Controlli per entrare.,joy,positive
"Ci siamo stati molto spesso con gli amici o da soli. Expo Per le strade, I navigli e il vecchio porto (darsena) sono stati attentamente ristrutturato e ora Ã¨ un vero gioiello. Un'atmosfera totalmente diversa dal centro cittÃ : piccoli e affascinanti case, negozi strani e decine di "" in "" bar e ristoranti. Posizione ideale per lo shopping e rilassarsi.",joy,positive
Consiglio di visitare il Duomo di Milano ....emblema della cittÃ !ammirare la Madonnina dalle guglie...esperienza da vivere.,joy,positive
"La vista del duomo all'uscita della metro ti toglie il fiato, peccato per i continui lavori di ristrutturazione perÃ² necessari. L'interno non puÃ² essere tralasciato, suggestivo.",joy,negative
Vivo a Milano da una vita ma non avevo mai trovato il tempo di visitare questa chiesa nel cuore di Milano e a due passi dall'UniversitÃ  Cattolica.Finalmente sono riuscito nell'intento e la bellezza degli affreschi presenti al suo interno ha superato le mie aspettative!,joy,positive
"Tenuto abbastanza bene quando si passeggia sembra di non stare in una cittÃ , lâho trovato rilassante",joy,positive
Davvero un modo originale di creare un luogo di memorialascinda traccia del passato senza impedire di adeguarsi alle esigenze del presente.Merita una visita tutta la BernauerstrasseEsposizione gratutia con terrazzo panoramico pervedere il sito dall'alto,joy,positive
Non ci sono parole per descrivere la bellezza di questo parco...passeggiare nei suoi colori e sentirsi una star durante un film americano. Il tipico luogo in cui ti senti a casa anche se lo vedi per la prima volta.Noi abbiamo fatto la follia di affittare le bici e fare tutto il perimetro del parco...siamo tornati mezzi morti ma ne Ã¨ valsa la pena!,sadness,positive
"Un polmone verde in una grande cittÃ , uno dei simboli di New York. Consigliato a chiunque per una passeggiata o fare un poâ di attivitÃ  fisica. ",joy,positive
"Visitare Milano nel periodo di Natale e' molto suggestivo e le mille luminarie che impreziosiscono la citta'la rendono ancora pu' magica.Tra i tanti eventi cui e' possibile assistere in questo periodo, consiglio a tutti le fontane danzanti sui Navigli.Ogni sera dopo il 7 dicembre dalle 18.30 in poi sulla Darsena si assiste a uno spettacolo meraviglioso: fontane d' acqua illuminate che passano dal bianco all'azzurro ai toni piu' accessi del rosso e dell' arancio  danzando al ritmo di musiche natalazie.Nei dintorni,le tipiche bancherelle con chioschi food e drink che ti riscalderanno.Per chi lo desidera e' possibile ogni giorno dal 16 novembre al 30 dicembre 2019 fare una navigazione sui Navigli accompagnati da un pianista compositore con la partecipazione di artisti del coro della Scala.Botteghini x acquisti biglietti in loco.",joy,positive
"Bellissimo in questa stagione , abbiamo girato in bici e a piedi. Preso la barchetta a remi nel laghetto, mangiato in uno dei tanti ristorantino sparsi e poi rilassati sul prato allâombra di un albero... ",sadness,positive
"E' una delle attrazioni piÃ¹ importanti da vedere. Ingresso gratuito con audio guida. Da fuori l'edificio ha ancora i caratteri originari di fine settecento, ma l'interno Ã¨ completamente moderno con possibilitÃ  di visitare l'ultimo piano con suggestiva cupola in acciaio e vetro, e con rampa perimetrale circolare con accesso al terrazzo con superba vista sulla cittÃ . Da vedere.",joy,positive
"Quando si arriva si coglie subito la desolazione di questo memoriale ma solo entrandoci e camminando per questi blocchi di cemento sempre piÃ¹ alti e stretti si capisce lo smarrimento, il terrore, la perdita della coscienza e dell'umanitÃ . Come in una chiesa ci vorrebbe un momento di raccoglimento e un sacro rispetto per questo luogo ma purtroppo alcuni turisti si scattano foto sorridenti e in pose da spiaggia. L'idiozia umana non ha mai fine!",sadness,negative
