tweet_text,emotion,sentiment
"@TheMoralyzer @nicos_moriello @StanisLaRochele @Vivo_e_vegeto @DiegoMontuori @sscnapoli @douglascosta È inutile che cerchiate di far credere che non contiamo un cazzo, perché vi mettete a cantare i cori del Napoli rivisitati allo Stadium a cazzo di cane... ? Poi se vuoi negarlo fai ?",anger,negative
"@RobMaida @OfficialASRoma @CorSport @LorePelle7 Purtroppo la fragilità dei muscoli è sempre stato il problema di questo ragazzo , anche a #Sassuolo ha avuto molti ( troppi ) infortuni muscolari. Peccato",sadness,negative
#AtalantaJuve 2-2... non ci battete giocando 40 minuti in 11 contro 10...non ci battete con arbitraggio a senso unico..gol annullati...non ci battete con @Cristiano 60 minuti in panchina...non ci battete nemmeno se giochiamo bendati.. ?????????#FinoAllaFine #Ronaldo https://t.co/4jrspllqBF,anger,negative
@RollingStoneita @Cristiano @juventusfc Avete la lingua sporca di merda,anger,negative
#FranciaVsArgentina #FifaWorldCup2018 @mascherano è un giocatore che mi è sempre piaciuto ma che mi sembra ormai improponibile a questi livelli,sadness,negative
"@ChiaraZucchelli @Belgianfootball @OfficialRadja No perché non ascolta nessuno...preferisce fare la figuraccia in Russia anziché ammettere di sbagliare a non prenderlo. E la federazione gli ha rinnovato il contratto, stiamo nei guai!",anger,negative
"È paradossale che @neymarjr protesti perché qualcuno accentua un contatto. Ridicolo! È senza vergogna, imbarazzante.  #brasilcostarica",anger,negative
@Cristiano @fuck Cristiano Ronaldo fuck familia fuck série a the best Messi,joy,positive
"@bonucci_leo19 In realtà l'unico che ha dovuto lottare e soffrire è stato #valeri x farvi vincere in tutti i modi!
Ma possibile che voi giocatori fate finta di nulla, e credete pure di essere forti vincendo così..?
Io mi vergognerei, ma c'è chi la vergogna non la conosce evidentemente..",anger,negative
"@realvarriale @francescoceccot @StefanoDiscreti @kkoulibaly26 @sscnapoli @Lor_Insigne Tu sei messo davvero male, manca la tenuta ""mentale"". Pensi solo alla partita della #juve con l'atletico invece di fare figure ridicole e perdere contro #Asamoah. Siete una squadretta con un allenatore incapace. Continua così.",anger,negative
@sscnapoli @kkoulibaly26 @ADeLaurentiis @MrAncelotti AdL Zuzzus.......pagliaccio........vuoi fare sempre la prima donna......Soffri quanto parliamo di chi puo toglierti visibilità quale Cavani ecc ecc Sarri ecc ecc tutti ti schifano dopo qualche anno e cosi farà anche Ancellotti!!,anger,negative
A parte questo.... @Cristiano TI PREGO VIENI. SEI LUNICO CHE PUÒ ROMPERE LA NOSTRA MALEDIZIONE,anger,negative
"@sharethegol @andrea_vadala @annatrieste @sscnapoli @Cristiano @mattinodinapoli Dopo 12 ore di lavoro, ogni ora dico odio la Juve, butto la munnezza Dal primo piano è dico Juve merda e penso che in giro ci sta munnezza che apre la bocca e scrive stronzate",anger,negative
"@kkoulibaly26 Naturalmente quelli non sono tifosi, e da Interista mi vergogno per loro, queste persone non dovrebbero mettere piede negli stadi.
Mi dispiace che a fine 2018 si debba ancora parlare di queste cose.",sadness,negative
@realvarriale @gallobelotti Ma perché non continui a guardare il tuo calcio minore invece di rompere i coglioni al mondo? Continua pure a fomentare: poi se qualcuno ti saracca di botte non venire a piagnere,anger,negative
@Cristiano Non sembrano così male le sue cene ... forse ad @Evra  non piace la f**a,anger,negative
@GiacomoLeoni1 @Alissonbecker @OfficialASRoma @eu_difrancesco Mi sembra un pelino stantio.,sadness,negative
"@MatteDj23 @Asabob20 Abbiamo avuto 2 match point e li abbiamo fallito entrambi. Direi che la responsabilità è la nostra. Poi tutti i discorsi legati a liste Uefa, gol di Kane al 90 etc..non li voglio sentire.",sadness,negative
@delpieroale @lukamodric10 Argentina non voleva vincere questa partita neanche mostrarsi stando una grande squadra con i tutti migliori giocatori del mondo come lo pensavamo. Però gli mancano un'allenatore di qualità.,sadness,negative
@cumdivido @G_Higuain Che schifo,anger,negative
Uno come @MauroIcardi che vince il titolo di capocannoniere e riporta la sua squadra in Champions caricando la sulle spalle non puoi non portarlo al mondiale,joy,positive
@FBiasin Bastava che @Asabob20 non facesse il fenomeno.. #incomprensibile,anger,negative
"@juventusfc @douglascosta @Cristiano Non bastava un gol annullato, un rigore non dato, anzi hanno raddoppiato gli episodi a ns sfavore, si vedeva proprio che non ci volevano far vincere e non solo in questa partita, ma la società e la dirigenza fa finta di niente, quanto invece dovrebbe farsi sentire e avere equità!",anger,negative
@juventusfc @Cristiano se posso dire la mia..fate schifo...comprate ronaldo e non fate presentazione allo stadium o lo fate arrivare di nascosto..bella considerazione di noi tifosi....però l'abbonamento lo avete aumentato,anger,negative
"@MarcoReNer_azz @wandaicardi27 @MauroIcardi Marco ti riferisci a questo? "" #WandaNara: ""Dicono che sono i tifosi, i tifosi niente, i tifosi vogliono che mauro faccia gol e che non gli rompano il cazzo per ogni cosa che fa"". secondo me hai interpretato male. la sua frase dice l'esatto contrario",anger,negative
"@realvarriale @kkoulibaly26 @sscnapoli @Lor_Insigne ?????? DC di assurdo ci sei tu e i tuoi tweet! ??? Ora è la designazione che è sbagliata...
Inizia ad insegnare a stare al mondo al tuo amico @ADeLaurentiis che spara cazzate e legittima atteggiamenti indegni dei suoi tesserati! #ossessionato #frustrato",anger,negative
@mlollobrigida @PatroneLuca @lukamodric10 @Cristiano Per una volta non sono daccordo con te. Il pallone doro andrebbe dato  alla «diversità» al «genio»... e Modric no lo è... un gran giocatore tanto quanto inutile e finto questo premio...,anger,negative
"@kkoulibaly26 Sei fortunato , pigli tanti soldi e i tuoi figli avranno il futuro assicurato. Stai messo molto meglio di quei Razzisti di merda, quindi fregatene e ridigli in faccia, cazzo,se sei superiore. Così sarebbe fuck racism",anger,negative
@DanieleRugani @juventusfc Ieri mi sei piaciuto molto.cominci ad avere una sicurezza che prima ti mancava...avanti così Ruga!!!,joy,positive
"@Lo_statistico @SamiKhedira ma anche la @juventusfc che non lo spernacchia in qualche modo...mah... Essere ULTRAS lo capisco, ma almeno un barlume di intelligenza, di sagacia, di simpatia. Invece nulla, @realvarriale è solo un giornalista scarso",anger,negative
@Toro_News @SimoneZaza non è imperdonabile ma oggettivamente sin qui è stato inutile ed anzi stasera dannoso !!!,anger,negative
"?? Belgio, @Fellaini sull'esclusione di @OfficialRadja : ""Non capiamo la decisione di Martinez ma va rispettata. Radja è molto deluso"". VIDEO!
#naingollan #ASRoma #Belgium https://t.co/pxpHQ7AtyR",sadness,negative
@juventusfc @Cristiano minkia ke bbbelloooooooo..... io mi sento male....!!!!!!,sadness,negative
"@CZampa_official @OfficialASRoma @OfficialRadja È una vergogna!!! Andare a rafforzare le squadre che se L giocano con noi, non tanto x il Titolo quanto per lingresso in #UCL !!! Ora si che con @OfficialRadja lInter può ambire al titolo!!! Che schifo... Sempre peggio!!!",anger,negative
@Annaasr16 @OfficialASRoma @Alissonbecker Con questi nn vinceremo mai niente...,sadness,negative
In ttt questo stanno distruggendo @arekmilik9  assurdo......??????????????????????????????,anger,negative
"@liviovarriale @ADeLaurentiis @Cristiano @ECavaniOfficial Ma che incassi in silenzio rileggi un po le cavolate che hai dato per certo i giorni scorsi. Ma come si fa a perdere credibilità così, mah!",anger,negative
Voi che buttate merda su @PauDybala_JR ricordatevi che tra un anno e mezzo andranno via il 17 con Cr7 e rimarrete con le mosche in mano...,anger,negative
"@Rafficaruso94 E Rafinha... Non riesco proprio a prendere in considerazione l'idea di non riscattarlo.
@Rafinha con lui é un mercato da 10 e lode....",sadness,positive
"@realvarriale @sscnapoli @kkoulibaly26 Ma basta, basta!! Vergogna!",anger,negative
Se ci tenete così tanto a @kkoulibaly26 allora non accettate il risultato e rigiocate la partita 11 contro 11. Il resto sono chiacchiere e il casino dei tifosi razzisti non provenivano solo da 4 gatti. #InterNapoli,anger,negative
@2010MisterChip @21LVA e a Gerard ancora niente???????? sono: delusa e incazzata te lo dico,anger,negative
"@_ThousandN @MarioMandzukic9 Siamo in minoranza @_ThousandN. Il tifoso juventino si è affezionato a questo sopravvalutato. Trovare qualcuno che ce lo paghi 36 milioni a luglio, coi suoi limiti, età e stipendio sarà veramente difficile",sadness,negative
"Io ... tutto il giorno che mi chiedo quante ore, minuti, secondo mancano alla presentazione di @Cristiano ?????? https://t.co/b1096w0rfw",sadness,negative
@GiAdUzZoLa90 @douglascosta Fuoriclasse ero troppo felice L'anno scorso quando fu acwuistato non mi sbagliai,joy,positive
Praticamente @Rafinha non sa più in che lingua dircelo che vuole l'@inter...... https://t.co/4GC5qRXJ7D,anger,negative
"Che figuraccia di @juventusfc , manca molto per poter aspirare a vincere #UCL . @Cristiano nullo e anche gli altri sottotono. Se fossi un antijuventino godrei come un riccio.",anger,negative
"@DiMarzio @Alissonbecker @SkySport @SkySportsNews @OfficialASRoma @LFC E sti deficienti romani continuano a parlare di scudetto.
A proposito Florenzi ancora non lo avete venduto?",anger,negative
@realvarriale @kkoulibaly26 @sscnapoli @Lor_Insigne Siete la vergogna della civiltà...peggio di colui/lei che mette le corna...negare sempre anche davanti L evidenza!!!ma cosa c avete da recriminare??nn vincerete mai nulla xche siete una lagna continua a partire dal vostro Capo...vi aggrappate agli specchi,anger,negative
"@OfficialRadja Per me sbagli, perché non puoi rinunciare a qualcosa di così importante per un uomo così piccolo",sadness,positive
@sentopuzzadibru @realvarriale @kkoulibaly26 @sscnapoli @Lor_Insigne Uno assolutamente no e l'altro si poteva dare.,anger,negative
"@MadreNapoli @realvarriale @kkoulibaly26 @sscnapoli @Lor_Insigne Imparate a perdere, state diventando una barzelletta. E la cosa divertente è che se ne sono accorti pure gli interisti.
State raggiungendo livelli di ""vittimismo"" veramente ridicoli.",anger,negative
Mi dispiace solo per @G_Higuain.... non merita una squadra del genere! #olimpiacosmilan #EuropaLeague,sadness,negative
@papavero_rosso @GHapix @Carloalvino @kkoulibaly26 @Lor_Insigne Continui a rimanere ignorante usi le parole a cazzo perche sei capra imbroglione ha un altro significato. È inutile che vai avanti lascia perdere,anger,negative
@realvarriale @Cristiano @juventusfc Un po' mi ha deluso...speravo spendesse due parole per la bellezza del centro sportivo di Castelvolturno...,sadness,positive
