tweet_text,emotion,sentiment
"@LichtsteinerSte @juventusfc Grazie di tutto,#SwissExpress,sono stati 7 anni indimenticabili fatti di vittorie,sconfitte (poche!),enormi gioie e tante incazzature in campo con gli arbitri.? Sono stati 7 anni da #MY7H.
Mi mancherai.???",sadness,negative
"Scusami @Cristiano, potresti dirci se oggi arrivi a Torino?
Va bene pure un autocertificazione, tanto siamo in Italia... 
@juventusfc",sadness,negative
@NonEvoluto @PReina25 @MassMirabelli Max nelle cessioni è top.. negli acquisti può migliorare,joy,positive
@PasquAmatoJ8 @MarioMandzukic9 @G_Higuain @juventusfc Tanti auguri Gonzalo,joy,positive
"Nonostante l'odio sportivo verso la @juventusfc, che grande colpo portare @Cristiano in @SerieA_TIM! Spero il @sscnapoli risponda a questo colpo!",joy,negative
@EVUJ1897 @PauDybala_JR Thank you very mouch Vedic che scherzo per me sei unable sorella e gobba bianconera e fai parte Della famiglia @juventusfc,joy,positive
"@Luca_Cilli @Cristiano @juventusfc @tvdellosport Grazie Luca, gentilissimo!",joy,positive
"@georginajacaa @Cristiano @DoloresAveiro @juventusfcen Benvenuti nella casa di tutti noi juventini ! ? Siete una meraviglia ... un piacere ed un onore avervi fra noi ! ? #juve #family #CR7DAY #CR7JUVE Ancora benvenuto, mejor ! @Cristiano ??",joy,positive
@PBPcalcio @gigiodonna1 Speriamo contunui cosi. Si potrà vendere a buon prezzo,sadness,negative
@MarioMandzukic9 grandissimo Marione!! Finale meritatissima!! Go!! ??,joy,positive
"@MauroIcardi ??""Questa notte splendida darà i colori al nostro stemma: il nero e l'azzurro sullo sfondo d'oro delle stelle. Si chiamerà Internazionale, perché noi siamo fratelli del mondo"" ??
Bravo Capitano!
#noalrazzismo
#NoRacism",joy,positive
"Magari sei brutto in un mondo di belli o un mancino naturale con due piedi destri;

Ma soprattutto sei un Capitano con la C maiuscola, un uomo che incarna a pieno lo spirito Juventus, una delle ultime bandiere, un Campione. 

I regali belli, @chiellini #FINOALLAFINE ???????? https://t.co/Pni3EJ3gRx",joy,positive
"@kkoulibaly26 Tutti gli italiani che amano il gioco del calcio, non gli stupidi ignoranti razzisti, sono sicuramente con te Kalidou. Sei un gran giocatore, oltre che un grande uomo, cerca di farti scivolare tutto addosso, per quanto possibile.",joy,positive
@Cristiano Grande vittoria!?? https://t.co/IVQKRC3cR6,joy,positive
"@Cristiano di soldi ne hai. Di palloni d'oro anche. Sei già nella storia del calcio. Cosa può renderti più grande di così? Portare lo scudetto a Napoli, dopo D10s, el Pibe de oro, Diego. Tu facci una pensata. Che ti costa.",anger,negative
"Grande @arekmilik9 nn fare caso a quei 4 scemi che ti usano per attaccare il presidente
Non ne capiscono nulla,basta entrare nel loro profilo e leggere un paio di tweet sulla partita appena conclusa o su quella che verrà per capire il loro livello sul calcio?
#ForzaNapoliSempre https://t.co/XlGDGDGrFF",anger,negative
@SkySport @PSG_inside @neymarjr Neymar e Mbappé restano al PSG. Bene bene bene. Restate restate,joy,positive
@chiellini @juventusfc Capitano sei il migliore al mondo nel tuo ruolo e non solo... ? ti adoro ?????,joy,positive
"@juventusfc @Asabob20 Auguri grande Asa, e grazie per tutto quello che hai fatto alla Juve?????",joy,positive
@Stefandevrij Grazie ??,joy,positive
@juventusfc @Cristiano IL NUMERO 1 È ARRIVATO !!! GRAZIE PRESIDENTE.,joy,positive
@juventusfc @MarioMandzuki9 @marko_pjaca20 Ma anche perisic è stato bravo seppur sono juventina x me lo sottovalutano,anger,negative
"@kamilglik25 Tantissimi Auguri per un favoloso 2019, Kamil !! ????",joy,positive
@Acerbi_Fra Ogni partita sei una garanzia ? buon Natale!!!,joy,positive
@dries_mertens14 @DeBruyneKev Mi accontenterei anche in serie B,sadness,negative
"@juventusfc @D_Minuti @Cristiano I miei più sinceri complimenti. Questo colpo fa veramente bene al calcio italiano (oltre che alla Juventus stessa, logicamente). Da uno che vi tifa in Europa e vi gufa contro in campionato, Chapeau totale alla dirigenza. Volete bene ai vostri tifosi (e le magliette ridaranno).",joy,positive
@kkoulibaly26 Sei un grande,joy,positive
"@Dochollyday2274 @Danila9631 @PreziosoStrato @EdSnowden5 @oBravGuaglione @ECavaniOfficial No, siamo donne di mondo Doc, abbiam fatto le crocerossine a Cuneo!",joy,positive
@GBorzillo @Stefandevrij @miranda023 Concordo Gabriele....e pensa se a questo Brozovic (davvero epico) e Nainggolan aggiungessi un centrocampista di livello assoluto...(ahimè non il Dembele visto ieri che mi sembra lento ed appesantito quasi in involuzione)...oltre alla difesa avremmo pure un centrocampo invidiabile,joy,positive
