tweet_text,sentiment
"@LichtsteinerSte @juventusfc Grazie di tutto,#SwissExpress,sono stati 7 anni indimenticabili fatti di vittorie,sconfitte (poche!),enormi gioie e tante incazzature in campo con gli arbitri.? Sono stati 7 anni da #MY7H.
Mi mancherai.???",positive
"Scusami @Cristiano, potresti dirci se oggi arrivi a Torino?
Va bene pure unÂ autocertificazione, tanto siamo in Italia... 
@juventusfc",positive
@NonEvoluto @PReina25 @MassMirabelli Max nelle cessioni Ã¨ top.. negli acquisti puÃ² migliorare,positive
@PasquAmatoJ8 @MarioMandzukic9 @G_Higuain @juventusfc Tanti auguri Gonzalo,positive
"Nonostante l'odio sportivo verso la @juventusfc, che grande colpo portare @Cristiano in @SerieA_TIM! Spero il @sscnapoli risponda a questo colpo!",positive
@EVUJ1897 @PauDybala_JR Thank you very mouch Vedic che scherzo per me sei unable sorella e gobba bianconera e fai parte Della famiglia @juventusfc,positive
"@Luca_Cilli @Cristiano @juventusfc @tvdellosport Grazie Luca, gentilissimo!",positive
"@georginajacaa @Cristiano @DoloresAveiro @juventusfcen Benvenuti nella casa di tutti noi juventini ! ? Siete una meraviglia ... un piacere ed un onore avervi fra noi ! ? #juve #family #CR7DAY #CR7JUVE Ancora benvenuto, mejor ! @Cristiano ??",positive
@PBPcalcio @gigiodonna1 Speriamo contunui cosi. Si potrÃ  vendere a buon prezzo,positive
@MarioMandzukic9 grandissimo Marione!! Finale meritatissima!! Go!! ??,positive
"@MauroIcardi ??""Questa notte splendida darÃ  i colori al nostro stemma: il nero e l'azzurro sullo sfondo d'oro delle stelle. Si chiamerÃ  Internazionale, perchÃ© noi siamo fratelli del mondo"" ??
Bravo Capitano!
#noalrazzismo
#NoRacism",positive
"Magari sei brutto in un mondo di belli o un mancino naturale con due piedi destri;

Ma soprattutto sei un Capitano con la C maiuscola, un uomo che incarna a pieno lo spirito Juventus, una delle ultime bandiere, un Campione. 

I regali belli, @chiellini #FINOALLAFINE ???????? https://t.co/Pni3EJ3gRx",positive
"@kkoulibaly26 Tutti gli italiani che amano il gioco del calcio, non gli stupidi ignoranti razzisti, sono sicuramente con te Kalidou. Sei un gran giocatore, oltre che un grande uomo, cerca di farti scivolare tutto addosso, per quanto possibile.",positive
@Cristiano Grande vittoria!?? https://t.co/IVQKRC3cR6,positive
"@Cristiano di soldi ne hai. Di palloni d'oro anche. Sei giÃ  nella storia del calcio. Cosa puÃ² renderti piÃ¹ grande di cosÃ¬? Portare lo scudetto a Napoli, dopo D10s, el Pibe de oro, Diego. Tu facci una pensata. Che ti costa.",positive
